"","state","seat","undi_keluar_peti","undi_dalam_peti","undi_tak_kembali","undi_tolak","majoriti","peratus_keluar","undi_rosak","pengundi_jumlah","pengundi_tidak_hadir","rosak_vs_keseluruhan","rosak_vs_majoriti","tidakhadir_vs_majoriti"
"110","Selangor","P.110 Klang",128536,128278,258,1204,78773,86.09999847,1462,149286,20750,1.13742453476069,1.85596587663286,26.3415129549465
"111","Selangor","P.111 Kota Raja",129412,129092,320,966,71142,86.80000305,1286,149092,19680,0.993725465953698,1.80765230103174,27.6629838913722
"112","Selangor","P.112 Kuala Langat",89437,89228,209,1131,17112,87.30000305,1340,102447,13010,1.49826134597538,7.83076203833567,76.028517999065
"113","Selangor","P.113 Sepang",92087,91740,347,1083,18705,88.09999847,1430,104525,12438,1.55287934236103,7.64501470195135,66.495589414595
"114","W.P. Kuala Lumpur","P.114 Kepong",61812,61727,85,323,51628,85,408,72720,10908,0.66006600660066,0.790268846362439,21.1280700395134
"115","W.P. Kuala Lumpur","P.115 Batu",63600,63303,297,498,24438,83.30000305,795,76350,12750,1.25,3.2531303707341,52.1728455683771
"116","W.P. Kuala Lumpur","P.116 Wangsa Maju",74509,74133,376,525,24238,84.19999695,901,88490,13981,1.20924988927512,3.71730340787194,57.6821519927387
"117","W.P. Kuala Lumpur","P.117 Segambut",65265,65016,249,289,45702,83.69999695,538,77974,12709,0.824331571286294,1.17719137018074,27.8084110104591
"118","W.P. Kuala Lumpur","P.118 Setiawangsa",61884,61191,339,693,14372,85.80000305,1032,72125,10241,1.66763622261004,7.18062900083496,71.2566100751461
"119","W.P. Kuala Lumpur","P.119 Titiwangsa",50858,50709,149,323,4139,82.59999847,472,61571,10713,0.928074245939675,11.4037207054844,258.830635419183
"120","W.P. Kuala Lumpur","P.120 Bukit Bintang",52765,52662,103,254,37260,75.90000153,357,69519,16754,0.676584857386525,0.958132045088567,44.9651100375738
"121","W.P. Kuala Lumpur","P.121 Lembah Pantai",67059,66843,216,538,5598,83.5,754,80310,13251,1.12438300600963,13.4690961057521,236.709539121115
"122","W.P. Kuala Lumpur","P.122 Seputeh",70583,70423,160,294,56059,81.80000305,454,86287,15704,0.64321437173257,0.809861039262206,28.0133430849641
"123","W.P. Kuala Lumpur","P.123 Cheras",64074,63952,122,275,49665,81.30000305,397,78811,14737,0.619596092018603,0.799355683076613,29.6728078123427
"124","W.P. Kuala Lumpur","P.124 Bandar Tun Razak",71180,70650,530,444,19930,85.09999847,974,83642,12462,1.36836189940995,4.88710486703462,62.5288509784245
"125","W.P. Putrajaya","P.125 Putrajaya",24881,24704,177,146,3372,91.09999847,323,27311,2430,1.29817933362807,9.57888493475682,72.0640569395018
"126","Negeri Sembilan","P.126 Jelebu",39733,39543,190,586,2045,81.90000153,776,48514,8781,1.95303651876274,37.9462102689487,429.388753056235
"127","Negeri Sembilan","P.127 Jempol",58523,58299,224,1025,1631,81.09999847,1249,72161,13638,2.13420364642961,76.5787860208461,836.174126302882
"128","Negeri Sembilan","P.128 Seremban",93254,92870,384,1052,30694,84.59999847,1436,110229,16975,1.53988032684925,4.678438782824,55.3039682022545
"129","Negeri Sembilan","P.129 Kuala Pilah",41156,41006,150,769,200,82.59999847,919,49825,8669,2.23296724657401,459.5,4334.5
"130","Negeri Sembilan","P.130 Rasah",86655,85610,1045,303,46867,84.30000305,1348,102793,16138,1.55559402227223,2.87622420893166,34.4336100027738
"131","Negeri Sembilan","P.131 Rembau",75315,74909,406,1053,4364,85.19999695,1459,88397,13082,1.93719710549027,33.4326306141155,299.770852428964
"132","Negeri Sembilan","P.132 Port Dickson",62548,62282,266,948,17710,83.19999695,1214,75177,12629,1.94090938159494,6.85488424618859,71.3099943534726
"133","Negeri Sembilan","P.133 Tampin",49515,49316,199,850,1002,81.5,1049,60754,11239,2.11854993436332,104.690618762475,1121.65668662675
"134","Melaka","P.134 Masjid Tanah",43093,42961,132,636,8159,83.80000305,768,51423,8330,1.78219200334161,9.41291824978551,102.095845079054
"135","Melaka","P.135 Alor Gajah",59000,58822,178,1007,6980,83.80000305,1185,70405,11405,2.00847457627119,16.9770773638968,163.395415472779
"136","Melaka","P.136 Tangga Batu",70453,70287,166,1145,4659,84.69999695,1311,83179,12726,1.86081501142606,28.1390856406954,273.148744365744
"137","Melaka","P.137 Hang Tuah Jaya",77758,77492,266,909,8640,87,1175,89377,11619,1.51109853648499,13.599537037037,134.479166666667
"138","Melaka","P.138 Kota Melaka",107085,106708,377,1432,49175,84.40000153,1809,126877,19792,1.68931222860345,3.67869852567361,40.2480935434672
"139","Melaka","P.139 Jasin",62912,62673,239,912,219,85.69999695,1151,73409,10497,1.82953967446592,525.570776255708,4793.15068493151
"140","Johor","P.140 Segamat",46170,46046,124,726,5476,83.40000153,850,55359,9189,1.84102230885857,15.5222790357925,167.804967129291
"141","Johor","P.141 Sekijang",38527,38395,132,558,1281,84.5,690,45594,7067,1.79095180003634,53.864168618267,551.67837626854
"142","Johor","P.142 Labis",33146,33068,78,490,3410,82.09999847,568,40372,7226,1.71363060399445,16.6568914956012,211.906158357771
"143","Johor","P.143 Pagoh",43667,43365,302,693,6927,84.80000305,995,51494,7827,2.27860856024,14.3640825754295,112.992637505414
"144","Johor","P.144 Ledang",66708,66462,246,1048,8666,86.09999847,1294,77477,10769,1.93979732565809,14.9319178398338,124.267251327025
"145","Johor","P.145 Bakri",62632,62431,201,631,23211,84.80000305,832,73858,11226,1.32839443096181,3.58450734565508,48.3649993537547
"146","Johor","P.146 Muar",42868,42719,149,636,6953,84.30000305,785,50851,7983,1.83120276196697,11.2900906083705,114.813749460664
"147","Johor","P.147 Parit Sulong",50778,50601,177,832,6341,85.19999695,1009,59598,8820,1.98708101933908,15.9123166692951,139.094780003154
"148","Johor","P.148 Ayer Hitam",39474,39380,94,556,303,85.5,650,46168,6694,1.64665349343872,214.521452145215,2209.24092409241
"149","Johor","P.149 Sri Gading",45193,44917,276,635,3288,86.69999695,911,52125,6932,2.01579890691036,27.7068126520681,210.827250608272
"150","Johor","P.150 Batu Pahat",83574,83234,340,1097,17894,84.80000305,1437,98554,14980,1.71943427381722,8.03062479043255,83.7152118028389
"151","Johor","P.151 Simpang Renggam",36695,36601,94,779,3475,83.40000153,873,43998,7303,2.37907071808148,25.1223021582734,210.158273381295
"152","Johor","P.152 Kluang",81841,81452,389,921,23053,84.40000153,1310,96968,15127,1.60066470351047,5.68255758469614,65.6183576974797
"153","Johor","P.153 Sembrong",36768,36642,126,598,6662,83.30000305,724,44139,7371,1.96910356832028,10.8676073251276,110.6424497148
"154","Johor","P.154 Mersing",38306,38164,142,796,8459,79.5,938,48183,9877,2.44870255312484,11.0887811798085,116.763210781416
"155","Johor","P.155 Tenggara",37818,37698,120,664,5933,84.5,784,44755,6937,2.07308688984082,13.2142255182875,116.922299005562
"156","Johor","P.156 Kota Tinggi",39418,38995,423,802,14621,84.40000153,1225,46703,7285,3.10771728651885,8.37835989330415,49.82559332467
"157","Johor","P.157 Pengerang",33580,32798,782,557,11417,83,1339,40457,6877,3.98749255509232,11.7281247262854,60.2347376718928
"158","Johor","P.158 Tebrau",105420,104217,274,1203,37225,85.69999695,1477,123010,17590,1.40106241699867,3.96776359973136,47.2531900604433
"159","Johor","P.159 Pasir Gudang",106576,106351,225,1342,24726,85.80000305,1567,124214,17638,1.47031226542561,6.33745854566044,71.3338186524306
"160","Johor","P.160 Johor Bahru",81645,81378,267,1056,19782,80.5,1323,101422,19777,1.62042990997612,6.68789808917197,99.9747244970175
"161","Johor","P.161 Pulai",88116,87859,257,966,28924,82.90000153,1223,106291,18175,1.38794316582686,4.22832250034573,62.8370903056285
"162","Johor","P.162 Iskandar Puteri",118779,118575,204,1987,44864,85.90000153,2191,138275,19496,1.84460216031453,4.88364835948645,43.4557774607703
"163","Johor","P.163 Kulai",85687,85519,168,976,32748,86.40000153,1144,99174,13487,1.33509167084855,3.49334310492244,41.1841944546232
"164","Johor","P.164 Pontian",46683,46464,219,738,833,84,957,55575,8892,2.04999678683889,114.885954381753,1067.46698679472
"165","Johor","P.165 Tanjung Piai",45858,45789,69,841,524,85.69999695,910,53509,7651,1.98438658467443,173.664122137405,1460.11450381679
"166","W.P. Labuan","P.166 Labuan",21729,21660,69,302,1450,76.59999847,371,28366,6637,1.70739564637121,25.5862068965517,457.724137931034
"167","Sabah","P.167 Kudat",38205,38034,171,955,1359,73.09999847,1126,52264,14059,2.94725821227588,82.8550404709345,1034.51066961001
"168","Sabah","P.168 Kota Marudu",35231,35085,146,1179,1774,74.90000153,1325,47037,11806,3.76089239590134,74.6899661781285,665.501691093574
"169","Sabah","P.169 Kota Belud",47565,47271,294,1173,4262,82.09999847,1467,57935,10370,3.08420056764428,34.4204598779916,243.31299859221
"170","Sabah","P.170 Tuaran",44834,44601,233,958,7624,82.40000153,1191,54410,9576,2.65646607485391,15.6217208814271,125.603357817419
"171","Sabah","P.171 Sepanggar",49012,48698,314,913,12984,78.5,1227,62435,13423,2.50346853831715,9.45009242144178,103.381084411583
"172","Sabah","P.172 Kota Kinabalu",42973,42873,100,563,24086,76.40000153,663,56247,13274,1.5428292183464,2.75263638628249,55.1108527775471
"173","Sabah","P.173 Putatan",31865,31616,249,826,2339,77.09999847,1075,41329,9464,3.3736074062451,45.9598118854211,404.617357845233
"174","Sabah","P.174 Penampang",43659,43525,134,417,23473,82.19999695,551,53113,9454,1.26205364300602,2.34737783836749,40.2760618583053
"175","Sabah","P.175 Papar",36540,36379,161,543,325,83.80000305,704,43603,7063,1.92665571975917,216.615384615385,2173.23076923077
"176","Sabah","P.176 Kimanis",25519,25413,106,385,156,86.19999695,491,29604,4085,1.92405658528939,314.74358974359,2618.58974358974
"177","Sabah","P.177 Beaufort",28154,28011,143,799,3331,84.40000153,942,33357,5203,3.34588335582866,28.2797958571,156.199339537676
"178","Sabah","P.178 Sipitang",25483,25367,116,596,852,79.90000153,712,31893,6410,2.79401954244006,83.5680751173709,752.347417840376
"179","Sabah","P.179 Ranau",33904,33711,193,769,1076,77.59999847,962,43690,9786,2.83742331288344,89.4052044609665,909.479553903346
"180","Sabah","P.180 Keningau",40913,40671,242,522,45,79.90000153,764,51205,10292,1.86737711729768,1697.77777777778,22871.1111111111
"181","Sabah","P.181 Tenom",23027,22899,128,661,1133,78.90000153,789,29185,6158,3.42641247231511,69.6381288614298,543.51279788173
"182","Sabah","P.182 Pensiangan",24955,24896,59,528,2314,79.5,587,31389,6434,2.35223402123823,25.3673292999136,278.046672428695
"183","Sabah","P.183 Beluran",21606,21530,76,832,7115,75.80000305,908,28503,6897,4.20253633250023,12.7617709065355,96.9360505973296
"184","Sabah","P.184 Libaran",37248,37091,157,948,678,77.69999695,1105,47938,10690,2.96660223367698,162.979351032448,1576.69616519174
"185","Sabah","P.185 Batu Sapi",24029,23916,113,655,4619,73.80000305,768,32559,8530,3.19613799991677,16.6269755358303,184.672006927906
"186","Sabah","P.186 Sandakan",28668,28592,76,502,10098,72.09999847,578,39761,11093,2.01618529370727,5.72390572390572,109.853436324025
"187","Sabah","P.187 Kinabatangan",22257,22179,78,661,9478,77.5,739,28718,6461,3.32030372467089,7.79700358725469,68.1683899556869
"188","Sabah","P.188 Lahad Datu",44294,44119,175,1079,6401,72.69999695,1254,60927,16633,2.83108321668849,19.5906889548508,259.850023433838
"189","Sabah","P.189 Semporna",34613,34408,205,982,20674,71.69999695,1187,48274,13661,3.42934735504001,5.74151107671471,66.0781658121312
"190","Sabah","P.190 Tawau",43861,43734,127,981,4727,73.19999695,1108,59919,16058,2.52616219420442,23.4398138354136,339.708060080389
"191","Sabah","P.191 Kalabakan",38041,37749,292,840,3187,72.90000153,1132,52182,14141,2.97573670513393,35.5192971446501,443.708817069344
"192","Sarawak","P.192 Mas Gading",22822,22754,68,236,3024,77.09999847,304,29600,6778,1.33204802383665,10.0529100529101,224.140211640212
"193","Sarawak","P.193 Santubong",33868,33713,155,440,19485,74.19999695,595,45644,11776,1.75682059761427,3.05363099820375,60.4362329997434
"194","Sarawak","P.194 Petra Jaya",43513,43299,214,354,15017,75.09999847,568,57940,14427,1.30535701974123,3.78237996936805,96.0711193980156
"195","Sarawak","P.195 Bandar Kuching",61483,61364,119,241,35973,75.09999847,360,81868,20385,0.585527706845795,1.00075056292219,56.6675006254691
"196","Sarawak","P.196 Stampin",52550,52307,243,408,14221,79.30000305,651,66267,13717,1.23882017126546,4.57773714928627,96.4559454328106
"197","Sarawak","P.197 Kota Samarahan",36551,36298,253,431,16992,78.90000153,684,46325,9774,1.87135782878717,4.02542372881356,57.521186440678
"198","Sarawak","P.198 Puncak Borneo",35142,35034,108,514,4005,76.09999847,622,46178,11036,1.76996186898867,15.5305867665418,275.555555555556
"199","Sarawak","P.199 Serian",27880,27804,76,385,9905,74.09999847,461,37624,9744,1.65351506456241,4.65421504290762,98.3745583038869
"200","Sarawak","P.200 Batang Sadong",17349,17286,63,220,12328,74.69999695,283,23224,5875,1.63121793763329,2.29558728098637,47.6557430240104
"201","Sarawak","P.201 Batang Lupar",20603,20554,49,403,10277,69.09999847,452,29816,9213,2.19385526379653,4.39817067237521,89.6467840809575
"202","Sarawak","P.202 Sri Aman",23379,23295,84,295,5820,70.80000305,379,33021,9642,1.62111296462637,6.51202749140894,165.670103092784
"203","Sarawak","P.203 Lubok Antu",14785,14750,35,199,1059,71.09999847,234,20794,6009,1.58268515387217,22.0963172804533,567.42209631728
"204","Sarawak","P.204 Betong",21165,21003,162,283,8116,72.59999847,445,29152,7987,2.10252775809119,5.48299655002464,98.410547067521
"205","Sarawak","P.205 Saratok",23084,22964,120,257,989,75.59999847,377,30534,7450,1.63316582914573,38.1193124368049,753.286147623862
"206","Sarawak","P.206 Tanjong Manis",14425,14344,81,214,8674,65.90000153,295,21889,7464,2.04506065857886,3.40096841134425,86.050265160249
"207","Sarawak","P.207 Igan",12996,12898,98,317,8495,66.30000305,415,19601,6605,3.19329024315174,4.88522660388464,77.751618599176
"208","Sarawak","P.208 Sarikei",30895,30816,79,340,2570,78.09999847,419,39558,8663,1.3562065059071,16.3035019455253,337.081712062257
"209","Sarawak","P.209 Julau",18569,18520,49,241,1931,73.19999695,290,25367,6798,1.56174268942862,15.0181253236665,352.045572242361
"210","Sarawak","P.210 Kanowit",15149,15087,62,295,4312,72.09999847,357,21011,5862,2.35659119413823,8.27922077922078,135.946196660482
"211","Sarawak","P.211 Lanang",46419,46257,162,365,14546,74.90000153,527,61974,15555,1.13531097180034,3.62298913790733,106.936614876942
"212","Sarawak","P.212 Sibu",57689,57268,421,515,11422,77.80000305,936,74150,16461,1.62249302293331,8.19471195937664,144.116617054807
"213","Sarawak","P.213 Mukah",21205,21085,120,379,7000,69.30000305,499,30598,9393,2.35321858052346,7.12857142857143,134.185714285714
"214","Sarawak","P.214 Selangau",22352,22304,48,334,486,74.40000153,382,30043,7691,1.70901932712956,78.6008230452675,1582.51028806584
"215","Sarawak","P.215 Kapit",18485,18403,82,278,10479,60.29999924,360,30655,12170,1.94752502028672,3.43544231319782,116.137035976715
"216","Sarawak","P.216 Hulu Rajang",17727,17659,68,306,6315,64.40000153,374,27526,9799,2.10977604783663,5.92240696753761,155.170229612035
"217","Sarawak","P.217 Bintulu",48036,47981,55,523,7022,73.80000305,578,65089,17053,1.20326421850279,8.23127314155511,242.85103958986
"218","Sarawak","P.218 Sibuti",22697,22653,44,284,3676,71.19999695,328,31877,9180,1.44512490637529,8.92274211099021,249.727965179543
"219","Sarawak","P.219 Miri",58439,58328,111,513,13663,72.69999695,624,80383,21944,1.06778007837232,4.56707897240723,160.608943862988
"220","Sarawak","P.220 Baram",22806,22751,55,399,1990,63.90000153,454,35690,12884,1.99070420064895,22.8140703517588,647.437185929648
"221","Sarawak","P.221 Limbang",17802,17669,133,201,7710,67.40000153,334,26412,8610,1.87619368610269,4.33203631647211,111.673151750973
"222","Sarawak","P.222 Lawas",14550,14407,143,157,6000,68.30000305,300,21303,6753,2.06185567010309,5,112.55
